id,region_name
1,Ilocos Region (Region I)
2,Cagayan Valley (Region II)
3,Central Luzon (Region III)
4,CALABARZON (Region IV-A)
5,MIMAROPA (Region IV-B)
6,Bicol Region (Region V)
7,Western Visayas (Region VI)
8,Central Visayas (Region VII)
9,Eastern Visayas (Region VIII)
10,Zamboanga Peninsula (Region IX)
11,Northern Mindanao (Region X)
12,Davao Region (Region XI)
13,SOCCSKSARGEN (Region XII)
14,Caraga (Region XIII)
15,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)
16,Cordillera Administrative Region (CAR)
17,National Capital Region (NCR)
